!  
! R    D    M    P
1001
11.648999999999997 47250439.81133991 1439269094403.9849 -207374934459.08807
11.947499999999998 43970156.072964765 1463066332391.6345 -204262255976.25067
12.245999999999997 40986716.63263327 1486366003669.3372 -201253289518.49133
12.544499999999998 38267278.301687494 1509188331892.6543 -198342721042.96484
12.842999999999998 35783265.05602853 1531552343038.906 -195525597101.10782
13.141499999999997 33509734.7868909 1553475957180.577 -192797295011.9325
13.439999999999998 31424851.24448043 1574976071740.9626 -190153495874.03214
13.738499999999998 29509441.911779743 1596068637149.3047 -187590160120.94128
14.036999999999997 27746626.387734126 1616768725701.6223 -185103505356.01477
14.335499999999998 26121502.874369275 1637090594337.108 -182689986231.47974
14.633999999999999 24620882.74147624 1657047741956.281 -180346276161.91486
14.932499999999997 23233065.02905558 1676652961834.2793 -178069250685.29727
15.230999999999998 21947644.250942897 1695918389619.18 -175855972305.16498
15.529499999999997 20755346.066381548 1714855547349.8206 -173703676665.58392
15.827999999999998 19647886.353878547 1733475383879.102 -171609759926.7221
16.126499999999997 18617850.00299821 1751788312046.2593 -169571767223.12537
16.424999999999994 17658586.373258412 1769804242904.3 -167587382099.45923
16.723499999999998 16764118.88499048 1787532617275.9976 -165654416829.7154
17.021999999999995 15929066.628413327 1804982434882.9487 -163770803535.83804
17.320499999999996 15148576.222762624 1822162281266.713 -161934586030.55478
17.618999999999996 14418262.441746697 1839080352698.5105 -160143912317.03275
17.917499999999997 13734156.35649042 1855744479254.0269 -158397027684.9333
18.215999999999998 13092659.941748079 1872162146212.1807 -156692268348.6186
18.514499999999995 12490506.252930246 1888340513920.999 -155028055578.7562
18.812999999999995 11924724.416359782 1904286436259.7896 -153402890283.4563
19.111499999999996 11392608.787953407 1920006477814.338 -151815347999.4313
19.409999999999997 10891691.730106363 1935506929870.7678 -150264074257.54895
19.708499999999997 10419719.536097838 1950793825323.77 -148747780290.6163
20.006999999999994 9974631.098405076 1965872952586.0378 -147265239054.32767
20.305499999999995 9554538.974018632 1980749868577.7883 -145815281535.0775
20.603999999999996 9157712.547912722 1995429910868.1099 -144396793320.8198
20.902499999999996 8782563.036661265 2009918209033.4683 -143008711413.37704
21.200999999999997 8427630.108970826 2024219695292.9316 -141650021262.5948
21.499499999999994 8091569.929592951 2038339114474.4746 -140319754004.5301
21.797999999999995 7773144.458482139 2052281033362.0427 -139016983887.47134
22.096499999999995 7471211.858849011 2066049849468.8103 -137740825871.03717
22.394999999999996 7184717.886476093 2079649799278.2532 -136490433384.9079
22.693499999999997 6912688.148781629 2093084965991.1792 -135264996234.92186
22.991999999999994 6654221.136023325 2106359286813.7234 -134063738645.33203
23.290499999999994 6408481.939056097 2119476559818.4678 -132885917426.9815
23.588999999999995 6174696.578471255 2132440450408.2485 -131730820262.02495
23.887499999999996 5952146.878980411 2145254497409.8677 -130597764096.61334
24.185999999999996 5740165.830763044 2157922118822.7778 -129486093633.67229
24.484499999999997 5538133.386337598 2170446617245.8582 -128395179918.55437
24.782999999999994 5345472.647484027 2182831185003.6155 -127324419010.93384
25.081499999999995 5161646.40196063 2195078908991.5183 -126273230736.84909
25.379999999999995 4986153.974322649 2207192775258.687 -125241057515.28558
25.678499999999996 4818528.35915155 2219175673344.7983 -124227363254.1355
25.976999999999997 4658333.608517601 2231030400386.822 -123231632310.7771
26.275499999999994 4505162.448587916 2242759665010.0522 -122253368512.88461
26.573999999999995 4358634.103013297 2254366091016.8765 -121292094235.41948
26.872499999999995 4218392.303127049 2265852220885.717 -120347349530.06058
27.170999999999996 4084103.4671085766 2277220519091.749 -119418691303.61484
27.469499999999996 3955455.032139234 2288473375260.1387 -118505692542.20792
27.767999999999997 3832153.925238272 2299613107161.828 -117607941578.29277
28.066499999999994 3713925.1599391275 2310641963561.1816 -116725041397.73009
28.364999999999995 3600510.547273723 2321562126924.192 -115856608984.39555
28.663499999999996 3491667.510695052 2332375715995.332 -115002274699.95215
28.961999999999996 3387167.995603072 2343084788250.6235 -114161681696.59464
29.260499999999997 3286797.465061397 2353691342233.971 -113334485360.72787
29.558999999999994 3190353.9741153507 2364197319783.353 -112520352785.68526
29.857499999999995 3097647.3158573117 2374604608153.036 -111718962271.7239
30.155999999999995 3008498.233043056 2384915042037.5747 -110930002851.65607
30.454499999999996 2922737.6896517025 2395130405502.99 -110153173840.58665
30.752999999999997 2840206.1973099196 2405252433830.19 -109388184408.33333
31.051499999999994 2760753.19197476 2415282815275.353 -108634753173.19836
31.349999999999994 2684236.4566951618 2425223192751.731 -107892607815.85219
31.648499999999995 2610521.586654902 2435075165437.028 -107161484712.1693
31.946999999999996 2539481.493044311 2444840290310.2695 -106441128583.93442
32.24549999999999 2470995.9426185484 2454520083621.84 -105731292166.40562
32.54399999999999 2404951.130080246 2464116022300.1343 -105031735891.78784
32.842499999999994 2341239.2806771803 2473629545298.079 -104342227587.7297
33.14099999999999 2279758.2806340666 2483062054882.569 -103662542190.01392
33.43949999999999 2220411.333244218 2492414917869.703 -102992461468.66216
33.73799999999999 2163106.638633968 2501689466808.5244 -102331773766.72597
34.03649999999999 2107757.095382205 2510887001115.812 -101680273751.07805
34.334999999999994 2054280.0223311756 2520008788164.3394 -101037762174.56287
34.63349999999999 2002596.8990642885 2529056064326.858 -100404045648.90244
34.931999999999995 1952633.1236534016 2538030035977.958 -99778936427.79068
35.23049999999999 1904317.7863934324 2546931880455.8174 -99162252199.64447
35.52899999999999 1857583.4583469764 2555762746985.7573 -98553815889.5092
35.82749999999999 1812365.9936172229 2564523757567.402 -97953455469.64824
36.12599999999999 1768604.3443545117 2573216007827.1475 -97361003778.37265
36.424499999999995 1726240.3875813033 2581840567837.568 -96776298346.69275
36.72299999999999 1685218.7629928924 2590398482905.258 -96199181232.39822
37.02149999999999 1645486.7209573642 2598890774328.5854 -95629498861.19551
37.31999999999999 1606993.9799989234 2607318440126.701 -95067101874.55232
37.61849999999999 1569692.5931040884 2615682455741.1167 -94511844983.9198
37.916999999999994 1533536.8222409582 2623983774711.07 -93963586831.01895
38.21549999999999 1498483.020528276 2632223329323.8433 -93422189853.89928
38.51399999999999 1464489.5215335616 2640402031241.154 -92887520158.48965
38.81249999999999 1431516.5352187138 2648520772102.6416 -92359447395.37991
39.11099999999999 1399526.0500873502 2656580424107.469 -91837844641.58388
39.409499999999994 1368481.741121102 2664581840574.974 -91322588287.04979
39.70799999999999 1338348.8831224209 2672525856485.266 -90813557925.6946
40.00649999999999 1309094.26910928 2680413289000.633 -90310636250.75278
40.30499999999999 1280686.133432849 2688244937968.5537 -89813708954.24007
40.60349999999999 1253094.079312821 2696021586407.1064 -89322664630.34256
40.901999999999994 1226289.0105068514 2703744000973.4917 -88837394682.55359
41.20049999999999 1200243.0668506604 2711412932416.3765 -88357793234.38788
41.49899999999999 1174929.5634238443 2719029116012.7275 -87883757043.51193
41.79749999999999 1150322.93311358 2726593271989.7573 -87415185419.13931
42.09599999999999 1126398.672364177 2734106105932.597 -86951980142.5443
42.394499999999994 1103133.2899150376 2741568309178.2686 -86494045390.55785
42.69299999999999 1080504.2583431047 2748980559196.499 -86041287661.9147
42.99149999999999 1058489.9682383433 2756343519957.9097 -85593615706.32738
43.28999999999999 1037069.6848523932 2763657842290.071 -85150940456.16937
43.58849999999999 1016223.5070712304 2770924164221.9014 -84713174960.65623
43.88699999999999 995932.3285726004 2778143111316.872 -84280234322.41628
44.18549999999999 976177.8010382138 2785315296995.4365 -83852035636.35132
44.48399999999999 956942.2992992061 2792441322847.1157 -83428497930.68973
44.78249999999999 938208.8883013232 2799521778932.622 -83009542110.1405
45.08099999999999 919961.2917836324 2806557244076.409 -82595090901.06122
45.37949999999999 902183.8625714114 2813548286150.0063 -82185068798.55537
45.67799999999999 884861.5543902316 2820495462346.479 -81779402015.42142
45.976499999999994 867979.8951141477 2827399319446.3564 -81378018432.87653
46.27499999999999 851524.9613664373 2834260394075.3325 -80980847552.98354
46.57349999999999 835483.3543964255 2841079212954.052 -80587820452.71248
46.87199999999999 819842.177160728 2847856293140.2617 -80198869739.57076
47.17049999999999 804589.0125416775 2854592142263.6167 -79813929508.7394
47.468999999999994 789711.9026398406 2861287258753.399 -79432935301.6561
47.76749999999999 775199.329081413 2867942132059.4014 -79055824065.98732
48.06599999999999 761040.1942848649 2874557242866.2344 -78682534116.93599
48.36449999999999 747223.803634596 2881133063301.272 -78313005099.83133
48.66299999999999 733739.8485124869 2887670057136.478 -77947177953.95296
48.961499999999994 720578.3901411787 2894168679984.313 -77584994877.53989
49.25999999999999 707729.844195656 2900629379487.9385 -77226399293.94046
