!  
! R    D    M    P
201
54.562500000000014 167806.34572474097 4576525194905.13 -86965400795.70425
56.05000000000002 150905.61957771337 4585625216745.781 -84737141083.14507
57.537500000000016 136080.05486363525 4594266628806.207 -82620006988.3405
59.02500000000001 123031.26064149615 4602483248414.436 -80605893113.68774
60.51250000000002 111509.72536374361 4610305647718.05 -78687463116.95071
62.000000000000014 101305.87642718038 4617761533840.282 -76858060671.02513
63.48750000000002 92242.93808738448 4624876076818.487 -75111632506.58601
64.97500000000001 84171.1946343471 4631672193505.81 -73442661668.21356
66.46250000000002 76963.35821590973 4638170794184.126 -71846109437.77002
67.95000000000002 70510.80994496636 4644390997479.875 -70317364640.50546
69.43750000000001 64720.53513187712 4650350318236.19 -68852199262.29446
70.92500000000001 59512.613097864894 4656064832230.027 -67446729480.4627
72.41250000000002 54818.152273070955 4661549320996.782 -66097381353.55954
73.90000000000002 50577.58451702938 4666817399509.906 -64800860533.247025
75.38750000000002 46739.25054791044 4671881629037.723 -63554125459.00975
76.87500000000001 43258.22230824113 4676753617147.001 -62354363577.436516
78.36250000000001 40095.318980369404 4681444106529.33 -61198970195.432304
79.85000000000002 37216.28190724968 4685963054081.113 -60085529633.31043
81.33750000000002 34591.080409966824 4690319701462.444 -59011798391.2545
82.82500000000002 32193.325829443762 4694522638187.187 -57975690082.698524
84.31250000000001 29999.775365755657 4698579858150.625 -56975261922.050224
85.80000000000001 27989.910681578087 4702498810377.498 -56008702582.90261
87.28750000000002 26145.578959052647 4706286444668.295 -55074321267.31266
88.77500000000002 24450.68629289965 4709949252732.313 -54170537847.5684
90.26250000000002 22890.935076592265 4713493305319.666 -53295873959.68686
91.75000000000001 21453.598478400458 4716924285799.054 -52448944943.1786
93.23750000000001 20127.326277178403 4720247520571.971 -51628452534.75402
94.72500000000002 18901.977286693458 4723468006665.716 -50833178234.982574
96.21250000000003 17768.474383788835 4726590436805.87 -50061977276.70285
97.70000000000003 16718.678802827468 4729619222232.826 -49313773132.46054
99.18750000000003 15745.280893035642 4732558513495.692 -48587552505.614784
100.67500000000003 14841.704977611054 4735412219429.709 -47882360756.151886
102.16250000000004 14002.026320678056 4738184024499.653 -47197297717.8294
103.65000000000003 13220.898513957658 4740877404671.049 -46531513868.15101
105.13750000000003 12493.489850352425 4743495641952.951 -45884206816.93638
106.62500000000003 11815.427465422392 4746041837740.238 -45254618082.99852
108.11250000000003 11182.748207174984 4748518925069.461 -44642030131.72678
109.60000000000004 10591.85534560439 4750929679890.075 -44045763649.26969
111.08750000000003 10039.480360809817 4753276731442.135 -43465175031.56668
112.57500000000003 9522.649156248213 4755562571822.002 -42899654068.73024
114.06250000000003 9038.652134983266 4757789564809.245 -42348621807.278885
115.55000000000003 8585.01765435519 4759959954020.45 -41811528574.48755
117.03750000000004 8159.488440529115 4762075870449.083 -41287852150.69492
118.52500000000003 7760.000600716969 4764139339444.646 -40777096076.800835
120.01250000000003 7384.664919032667 4766152287179.211 -40278788085.43243
121.50000000000003 7031.750163202071 4768116546644.691 -39792478645.363434
122.98750000000003 6699.66816476632 4770033863220.14 -39317739609.765854
124.47500000000004 6386.960465876763 4771905899844.586 -38854162959.75299
125.96250000000003 6092.2863520242645 4773734241827.661 -38401359635.47028
127.45000000000003 5814.412112700189 4775520401327.24 -37958958447.69944
128.93750000000003 5552.201391576814 4777265821520.7 -37526605063.58028
