!  
! R    D    M    P
4001
1.7124464871250407 35758448666.30213 296197684413.5932 -1216490244289.4058
1.7147162612816627 35621615805.71489 299186836448.30835 -1216260130731.662
1.7169890439262931 35485263090.236206 302176404594.92365 -1216028014090.9639
1.719264839046554 35349389030.41054 305166385250.2508 -1215793899754.0764
1.7215436506353516 35213992140.58572 308156774810.87317 -1215557793100.2107
1.7238254826908856 35079070938.90627 311147569673.1628 -1215319699501.0254
1.7261103392166548 34944623947.30694 314138766233.2967 -1215079624320.6316
1.728398224221464 34810649691.50604 317130360887.27216 -1214837572915.5955
1.7306891417194321 34677146700.99885 320122350030.92474 -1214593550634.9387
1.7329830957299988 34544113509.05105 323114730059.94324 -1214347562820.1448
1.73528009027793 34411548652.69226 326107497369.8848 -1214099614805.1592
1.737580129393328 34279450672.709183 329100648356.19464 -1213849711916.3933
1.7398832171116354 34147818113.639343 332094179414.2182 -1213597859472.7275
1.7421893574736447 34016649523.764233 335088086939.2205 -1213344062785.514
1.7444985545255036 33885943455.10294 338082367326.4006 -1213088327158.5789
1.7468108123187231 33755698463.405453 341077016970.90814 -1212830657888.226
1.749126134910184 33625913108.146152 344072032267.85944 -1212571060263.24
1.751444526362145 33496585952.51709 347067409612.3545 -1212309539564.8875
1.7537659907422483 33367715563.421654 350063145399.4918 -1212046101066.9226
1.7560905321235278 33239300511.4678 353059236024.3851 -1211780750035.588
1.7584181545844166 33111339370.961536 356055677882.18005 -1211513491729.6182
1.760748862208753 32983830719.900402 359052467368.0694 -1211244331400.2434
1.7630826590857884 32856773139.966774 362049600877.3095 -1210973274291.1912
1.7654195493101945 32730165216.521458 365047074805.2367 -1210700325638.69
1.7677595369820702 32604005538.596977 368044885547.2831 -1210425490671.4727
1.7701026262069486 32478292698.891125 371043029498.992 -1210148774610.779
1.7724488210958051 32353025293.760273 374041503056.0357 -1209870182670.3584
1.7747981257650636 32228201923.212955 377040302614.2295 -1209589720056.473
1.7771505443366042 32103821190.90316 380039424569.5492 -1209307391967.901
1.7795060809377707 31979881704.12382 383038865318.1466 -1209023203595.9402
1.7818647397013767 31856382073.80037 386038621256.36475 -1208737160124.4094
1.7842265247657145 31733320914.48396 389038688780.7557 -1208449266729.6528
1.7865914402745615 31610696844.3451 392039064288.09546 -1208159528580.5427
1.788959490377187 31488508485.16699 395039744175.3995 -1207867950838.4832
1.79133067922836 31366754462.339043 398040724839.9391 -1207574538657.4111
1.7937050109883572 31245433404.850254 401042002679.2582 -1207279297183.8018
1.7960824898229686 31124543945.282692 404043574091.1877 -1206982231556.6697
1.7984631199035066 31004084719.804977 407045435473.86316 -1206683346907.574
1.8008469054068115 30884054368.165695 410047583225.7384 -1206382648360.6199
1.8032338505152612 30764451533.686832 413050013745.6048 -1206080141032.4617
1.805623959416776 30645274863.25731 416052723432.60333 -1205775830032.307
1.8080172363048275 30526523007.326344 419055708686.2429 -1205469720461.9192
1.8104136853784458 30408194619.896988 422058965906.4162 -1205161817415.6206
1.8128133108422262 30290288358.519577 425062491493.41376 -1204852125980.2952
1.8152161169063372 30172802884.28511 428066281847.94183 -1204540651235.393
1.817622107786528 30055736861.818863 431070333371.13715 -1204227398252.9324
1.8200312877041351 29939088959.27374 434074642464.58264 -1203912372097.5027
1.8224436608860903 29822857848.323788 437079205530.32336 -1203595577826.268
1.8248592315649286 29707042204.157642 440084018970.8831 -1203277020488.9717
